,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
8858,44713,941,288,63903,0.014511751279995065,0.7656631407648494,0.41562201283626926,0.04840809
8859,44711,941,288,63905,0.014511303704160627,0.7656631407648494,0.4156038053621011,0.04840803
8860,44710,941,288,63906,0.01451107992659645,0.7656631407648494,0.41559470162501705,0.048408
8861,44707,941,288,63909,0.014510408635312258,0.7656631407648494,0.41556739041376484,0.048407882
8862,44706,941,288,63910,0.014510184885352577,0.7656631407648494,0.41555828667668077,0.048407793
8863,44704,941,288,63912,0.014509737406133871,0.7656631407648494,0.4155400792025126,0.048407704
8864,44701,941,288,63915,0.014509066239052671,0.7656631407648494,0.4155127679912604,0.048407316
8865,44699,941,288,63917,0.01450861882882605,0.7656631407648494,0.41549456051709227,0.048407227
8866,44681,941,288,63935,0.014504593378136752,0.7656631407648494,0.41533069324957894,0.04840523
8867,44679,941,288,63937,0.01450414624371898,0.7656631407648494,0.4153124857754108,0.0484052
8868,44667,941,288,63949,0.014501464016027123,0.7656631407648494,0.41520324093040195,0.048404247
8869,44665,941,288,63951,0.014501017074523824,0.7656631407648494,0.4151850334562338,0.048404038
8870,44660,941,288,63956,0.014499899841286962,0.7656631407648494,0.4151395147708134,0.04840371
8871,44660,942,287,63956,0.014515085210638233,0.7664768104149715,0.41514861850789747,0.04840356
8872,44657,942,287,63959,0.0145144142617217,0.7664768104149715,0.41512130729664526,0.048403442
8873,44655,942,287,63961,0.01451396699690307,0.7664768104149715,0.4151030998224771,0.048403174
8874,44651,942,287,63965,0.014513072549956091,0.7664768104149715,0.41506668487414083,0.048402727
8875,44649,942,287,63967,0.014512625367822643,0.7664768104149715,0.4150484773999727,0.048402697
8876,44634,942,287,63982,0.014509272380013554,0.7664768104149715,0.4149119213437116,0.048401356
8877,44632,942,287,63984,0.014508825432030312,0.7664768104149715,0.41489371386954343,0.048401296
8878,44622,942,287,63994,0.014506591105088087,0.7664768104149715,0.4148026764987027,0.048400432
8879,44618,942,287,63998,0.014505697566984908,0.7664768104149715,0.41476626155036644,0.048400313
8880,44614,942,287,64002,0.014504804138950481,0.7664768104149715,0.41472984660203016,0.048400015
8881,44612,942,287,64004,0.014504357466202692,0.7664768104149715,0.41471163912786196,0.048399895
8882,44605,942,287,64011,0.01450279432820655,0.7664768104149715,0.41464791296827347,0.04839936
8883,44603,942,287,64013,0.014502347779231775,0.7664768104149715,0.4146297054941053,0.04839918
8884,44602,942,287,64014,0.014502124515056346,0.7664768104149715,0.41462060175702126,0.04839912
8885,44600,942,287,64016,0.014501678007327812,0.7664768104149715,0.4146023942828531,0.048399
8886,44594,942,287,64022,0.014500338649097963,0.7664768104149715,0.4145477718603487,0.048398733
8887,44591,942,287,64025,0.014499669062754936,0.7664768104149715,0.4145204606490965,0.048398644
8888,44588,942,287,64028,0.014498999538248422,0.7664768104149715,0.4144931494378442,0.048398167
8889,44586,942,287,64030,0.0144985532229268,0.7664768104149715,0.41447494196367607,0.048398048
8890,44584,942,287,64032,0.014498106935081726,0.7664768104149715,0.4144567344895079,0.04839784
8891,44582,942,287,64034,0.014497660674710663,0.7664768104149715,0.4144385270153398,0.04839778
8892,44581,942,287,64035,0.014497437554827092,0.7664768104149715,0.4144294232782557,0.0483976
8893,44579,942,287,64037,0.01449699133566229,0.7664768104149715,0.4144112158040876,0.04839754
8894,44577,942,287,64039,0.014496545143965159,0.7664768104149715,0.41439300832991943,0.048397183
8895,44574,942,287,64042,0.014495875907915795,0.7664768104149715,0.4143656971186672,0.048397034
8896,44568,942,287,64048,0.014494537621172488,0.7664768104149715,0.4143110746961628,0.048396647
8897,44566,942,287,64050,0.014494091580502216,0.7664768104149715,0.41429286722199465,0.048396528
8898,44561,942,287,64055,0.01449297659891995,0.7664768104149715,0.41424734853657424,0.04839611
8899,44559,942,287,64057,0.014492530654317758,0.7664768104149715,0.4142291410624061,0.04839602
8900,44556,942,287,64060,0.014491861788868035,0.7664768104149715,0.4142018298511539,0.048395813
8901,44554,942,287,64062,0.0144914159128669,0.7664768104149715,0.41418362237698575,0.048395753
8902,44553,942,287,64063,0.014491192985154989,0.7664768104149715,0.4141745186399017,0.048395604
8903,44550,942,287,64066,0.014490524243170072,0.7664768104149715,0.41414720742864947,0.048395544
8904,44535,942,287,64081,0.0144871814588684,0.7664768104149715,0.41401065137238835,0.048393875
8905,44533,942,287,64083,0.014486735870818916,0.7664768104149715,0.4139924438982202,0.048393846
8906,44531,942,287,64085,0.014486290310178849,0.7664768104149715,0.41397423642405207,0.048393607
8907,44528,942,287,64088,0.014485622020605875,0.7664768104149715,0.41394692521279985,0.048393458
8908,44523,942,287,64093,0.014484508341662181,0.7664768104149715,0.4139014065273795,0.04839304
8909,44521,942,287,64095,0.014484062918031275,0.7664768104149715,0.41388319905321136,0.04839295
